Depth Averaged Temps (0/300m,deg C,5N-5S,120E-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
199806 0.1792027E+02 -.8198357E+00
199807 0.1780211E+02 -.8923607E+00
199808 0.1780599E+02 -.9089890E+00
199809 0.1792806E+02 -.8836498E+00
199810 0.1806551E+02 -.8755455E+00
199811 0.1820356E+02 -.8463459E+00
199812 0.1832164E+02 -.7465782E+00
199901 0.1836032E+02 -.6463757E+00
199902 0.1834472E+02 -.5729446E+00
199903 0.1833691E+02 -.5311756E+00
199904 0.1835731E+02 -.4815941E+00
199905 0.1837631E+02 -.4208221E+00
199906 0.1837828E+02 -.3618298E+00
199907 0.1834743E+02 -.3470440E+00
199908 0.1832471E+02 -.3902626E+00
199909 0.1841524E+02 -.3964710E+00
199910 0.1855642E+02 -.3846397E+00
199911 0.1863791E+02 -.4119949E+00
199912 0.1868457E+02 -.3836479E+00
200001 0.1870670E+02 -.2999973E+00
200002 0.1869482E+02 -.2228489E+00
200003 0.1868816E+02 -.1799259E+00
200004 0.1870671E+02 -.1322021E+00
200005 0.1874111E+02 -.5601692E-01
200006 0.1874782E+02 0.7707596E-02
200007 0.1870473E+02 0.1026344E-01
200008 0.1871575E+02 0.7781982E-03
200009 0.1881705E+02 0.5336761E-02
200010 0.1891216E+02 -.2890015E-01
200011 0.1896242E+02 -.8747864E-01
200012 0.1897798E+02 -.9023285E-01
200101 0.1892024E+02 -.8645821E-01
200102 0.1883019E+02 -.8747292E-01
200103 0.1883482E+02 -.3325844E-01
200104 0.1886405E+02 0.2513885E-01
200105 0.1885074E+02 0.5360794E-01
200106 0.1885537E+02 0.1152611E+00
200107 0.1882862E+02 0.1341534E+00
200108 0.1881895E+02 0.1039715E+00
200109 0.1893493E+02 0.1232224E+00
200110 0.1911070E+02 0.1696396E+00
200111 0.1923303E+02 0.1831322E+00
200112 0.1927054E+02 0.2023277E+00
200201 0.1926533E+02 0.2586308E+00
200202 0.1921018E+02 0.2925129E+00
200203 0.1909042E+02 0.2223377E+00
200204 0.1897840E+02 0.1394939E+00
200205 0.1895328E+02 0.1561489E+00
