Depth Averaged Temps (0/300m,deg C,5N-5S,155W-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
199808 0.1575076E+02 -.9376993E+00
199809 0.1577162E+02 -.1005175E+01
199810 0.1578204E+02 -.1081898E+01
199811 0.1578414E+02 -.1174051E+01
199812 0.1580959E+02 -.1208264E+01
199901 0.1579582E+02 -.1178566E+01
199902 0.1568261E+02 -.1092710E+01
199903 0.1561478E+02 -.1005056E+01
199904 0.1570967E+02 -.8639622E+00
199905 0.1585615E+02 -.7353878E+00
199906 0.1601708E+02 -.6055260E+00
199907 0.1609331E+02 -.5488014E+00
199908 0.1601640E+02 -.6720619E+00
199909 0.1599646E+02 -.7803411E+00
199910 0.1600072E+02 -.8632221E+00
199911 0.1591360E+02 -.1044593E+01
199912 0.1587527E+02 -.1142588E+01
200001 0.1587513E+02 -.1099260E+01
200002 0.1582642E+02 -.9488993E+00
200003 0.1581938E+02 -.8004532E+00
200004 0.1591319E+02 -.6604404E+00
200005 0.1607801E+02 -.5135307E+00
200006 0.1625144E+02 -.3711681E+00
200007 0.1636304E+02 -.2790661E+00
200008 0.1644347E+02 -.2449970E+00
200009 0.1652437E+02 -.2524261E+00
200010 0.1652322E+02 -.3407135E+00
200011 0.1642742E+02 -.5307713E+00
200012 0.1639572E+02 -.6221371E+00
200101 0.1636924E+02 -.6051464E+00
200102 0.1620080E+02 -.5745220E+00
200103 0.1609930E+02 -.5205326E+00
200104 0.1615890E+02 -.4147320E+00
200105 0.1629694E+02 -.2946014E+00
200106 0.1649642E+02 -.1261883E+00
200107 0.1663413E+02 -.7982254E-02
200108 0.1668073E+02 -.7736206E-02
200109 0.1671141E+02 -.6538391E-01
200110 0.1677258E+02 -.9135437E-01
200111 0.1683452E+02 -.1236763E+00
200112 0.1694550E+02 -.7235146E-01
200201 0.1712920E+02 0.1548138E+00
200202 0.1709884E+02 0.3235245E+00
200203 0.1684931E+02 0.2294731E+00
200204 0.1667650E+02 0.1028728E+00
200205 0.1671092E+02 0.1193790E+00
200206 0.1688445E+02 0.2618389E+00
200207 0.1706311E+02 0.4210052E+00
200208 0.1728965E+02 0.6011829E+00
200209 0.1759754E+02 0.8207436E+00
200210 0.1790673E+02 0.1042795E+01
200211 0.1806230E+02 0.1104109E+01
200212 0.1791876E+02 0.9009075E+00
200301 0.1750883E+02 0.5344467E+00
200302 0.1702010E+02 0.2447777E+00
200303 0.1664473E+02 0.2489090E-01
200304 0.1639301E+02 -.1806259E+00
200305 0.1633629E+02 -.2552471E+00
200306 0.1656616E+02 -.5644417E-01
200307 0.1680195E+02 0.1598434E+00
200308 0.1682620E+02 0.1377411E+00
200309 0.1687206E+02 0.9525871E-01
200310 0.1707961E+02 0.2156773E+00
200311 0.1727498E+02 0.3167858E+00
200312 0.1725642E+02 0.2385693E+00
200401 0.1705751E+02 0.8312416E-01
200402 0.1680581E+02 0.3049278E-01
200403 0.1653334E+02 -.8649826E-01
200404 0.1644472E+02 -.1289139E+00
200405 0.1655742E+02 -.3411865E-01
200406 0.1669027E+02 0.6766129E-01
200407 0.1684477E+02 0.2026653E+00
200408 0.1703214E+02 0.3436756E+00
200409 0.1722037E+02 0.4435749E+00
200410 0.1737523E+02 0.5112896E+00
200411 0.1751030E+02 0.5521049E+00
200412 0.1753534E+02 0.5174885E+00
200501 0.1732653E+02 0.3521481E+00
200502 0.1711043E+02 0.3351059E+00
200503 0.1704460E+02 0.4247646E+00
200504 0.1692229E+02 0.3486557E+00
200505 0.1677653E+02 0.1849899E+00
200506 0.1675305E+02 0.1304455E+00
200507 0.1671110E+02 0.6898689E-01
200508 0.1662249E+02 -.6597519E-01
200509 0.1664189E+02 -.1349087E+00
200510 0.1669787E+02 -.1660690E+00
200511 0.1668534E+02 -.2728539E+00
200512 0.1659801E+02 -.4198399E+00
200601 0.1637673E+02 -.5976524E+00
200602 0.1613308E+02 -.6422405E+00
200603 0.1611652E+02 -.5033150E+00
200604 0.1634120E+02 -.2324352E+00
200605 0.1661987E+02 0.2832603E-01
200606 0.1684230E+02 0.2196884E+00
200607 0.1699302E+02 0.3509121E+00
200608 0.1717172E+02 0.4832611E+00
200609 0.1736977E+02 0.5929756E+00
200610 0.1756133E+02 0.6973877E+00
200611 0.1779195E+02 0.8337536E+00
200612 0.1772481E+02 0.7069550E+00
200701 0.1717765E+02 0.2032623E+00
200702 0.1653382E+02 -.2415028E+00
200703 0.1611502E+02 -.5048180E+00
200704 0.1595328E+02 -.6203537E+00
200705 0.1601853E+02 -.5730095E+00
200706 0.1615749E+02 -.4651184E+00
200707 0.1618141E+02 -.4607010E+00
200708 0.1615096E+02 -.5375061E+00
200709 0.1610250E+02 -.6743011E+00
200710 0.1604233E+02 -.8216076E+00
200711 0.1604458E+02 -.9136105E+00
200712 0.1601494E+02 -.1002916E+01
200801 0.1585760E+02 -.1116791E+01
200802 0.1571786E+02 -.1057457E+01
200803 0.1580668E+02 -.8131523E+00
200804 0.1608460E+02 -.4890270E+00
200805 0.1637978E+02 -.2117577E+00
200806 0.1661595E+02 -.6654739E-02
200807 0.1671549E+02 0.7337952E-01
200808 0.1663386E+02 -.5460167E-01
200809 0.1651414E+02 -.2626572E+00
200810 0.1649406E+02 -.3698769E+00
200811 0.1643525E+02 -.5229416E+00
200812 0.1624440E+02 -.7734547E+00
200901 0.1608192E+02 -.8924637E+00
200902 0.1603321E+02 -.7421131E+00
200903 0.1614455E+02 -.4752903E+00
200904 0.1642061E+02 -.1530170E+00
200905 0.1674235E+02 0.1508141E+00
200906 0.1700766E+02 0.3850555E+00
200907 0.1711551E+02 0.4734058E+00
200908 0.1711939E+02 0.4309292E+00
200909 0.1716305E+02 0.3862534E+00
200910 0.1738029E+02 0.5163517E+00
200911 0.1774908E+02 0.7908897E+00
200912 0.1795465E+02 0.9367981E+00
201001 0.1786639E+02 0.8920002E+00
201002 0.1763098E+02 0.8556614E+00
201003 0.1731700E+02 0.6971588E+00
201004 0.1690420E+02 0.3305702E+00
201005 0.1649667E+02 -.9487152E-01
201006 0.1618928E+02 -.4333324E+00
201007 0.1597790E+02 -.6642122E+00
201008 0.1582661E+02 -.8618488E+00
201009 0.1570010E+02 -.1076694E+01
201010 0.1567708E+02 -.1186857E+01
201011 0.1577426E+02 -.1183938E+01
201012 0.1583911E+02 -.1178741E+01
201101 0.1590373E+02 -.1070655E+01
201102 0.1609233E+02 -.6829872E+00
201103 0.1629366E+02 -.3261738E+00
201104 0.1643497E+02 -.1386566E+00
201105 0.1652578E+02 -.6575775E-01
201106 0.1653012E+02 -.9248734E-01
201107 0.1644103E+02 -.2010803E+00
201108 0.1630127E+02 -.3871899E+00
201109 0.1617028E+02 -.6065121E+00
201110 0.1609715E+02 -.7667866E+00
201111 0.1609104E+02 -.8671513E+00
201112 0.1606456E+02 -.9532967E+00
201201 0.1596963E+02 -.1004761E+01
201202 0.1590465E+02 -.8706684E+00
201203 0.1595708E+02 -.6627607E+00
201204 0.1612022E+02 -.4534092E+00
201205 0.1634566E+02 -.2458820E+00
201206 0.1656176E+02 -.6085014E-01
201207 0.1671513E+02 0.7301712E-01
201208 0.1680341E+02 0.1149483E+00
201209 0.1684897E+02 0.7217598E-01
201210 0.1686544E+02 0.1506805E-02
201211 0.1681869E+02 -.1395016E+00
201212 0.1666700E+02 -.3508511E+00
201301 0.1646855E+02 -.5058346E+00
201302 0.1631756E+02 -.4577637E+00
201303 0.1622235E+02 -.3974838E+00
201304 0.1617290E+02 -.4007359E+00
201305 0.1620234E+02 -.3892002E+00
201306 0.1629995E+02 -.3226624E+00
201307 0.1641003E+02 -.2320805E+00
201308 0.1652590E+02 -.1625633E+00
201309 0.1665513E+02 -.1216660E+00
201310 0.1679299E+02 -.7095146E-01
201311 0.1690929E+02 -.4890442E-01
201312 0.1689517E+02 -.1226845E+00
201401 0.1677052E+02 -.2038651E+00
201402 0.1677725E+02 0.1934052E-02
201403 0.1700048E+02 0.3806400E+00
201404 0.1723301E+02 0.6593761E+00
201405 0.1727590E+02 0.6843586E+00
201406 0.1711805E+02 0.4954376E+00
201407 0.1693057E+02 0.2884655E+00
201408 0.1690761E+02 0.2191505E+00
201409 0.1704638E+02 0.2695847E+00
201410 0.1723125E+02 0.3673115E+00
201411 0.1737221E+02 0.4140186E+00
201412 0.1736620E+02 0.3483448E+00
201501 0.1723523E+02 0.2608471E+00
201502 0.1718392E+02 0.4086037E+00
201503 0.1732207E+02 0.7022305E+00
201504 0.1756025E+02 0.9866142E+00
201505 0.1777369E+02 0.1182156E+01
201506 0.1791868E+02 0.1296068E+01
201507 0.1804271E+02 0.1400604E+01
201508 0.1819887E+02 0.1510403E+01
201509 0.1838566E+02 0.1608862E+01
201510 0.1858171E+02 0.1717768E+01
201511 0.1871082E+02 0.1752625E+01
201512 0.1864264E+02 0.1624788E+01
201601 0.1831177E+02 0.1337383E+01
201602 0.1776871E+02 0.9933949E+00
201603 0.1716708E+02 0.5472412E+00
201604 0.1669390E+02 0.1202660E+00
201605 0.1643815E+02 -.1533852E+00
201606 0.1634651E+02 -.2761002E+00
201607 0.1632271E+02 -.3193951E+00
201608 0.1631873E+02 -.3697357E+00
201609 0.1632026E+02 -.4565411E+00
201610 0.1635640E+02 -.5075397E+00
201611 0.1649201E+02 -.4661884E+00
201612 0.1668577E+02 -.3320847E+00
201701 0.1677990E+02 -.1944828E+00
201702 0.1672091E+02 -.5441093E-01
201703 0.1663381E+02 0.1396942E-01
201704 0.1664688E+02 0.7325363E-01
201705 0.1674686E+02 0.1553192E+00
201706 0.1680943E+02 0.1868191E+00
201707 0.1673936E+02 0.9724617E-01
201708 0.1656353E+02 -.1249371E+00
201709 0.1638925E+02 -.3875504E+00
201710 0.1629467E+02 -.5692673E+00
201711 0.1630534E+02 -.6528568E+00
201712 0.1640971E+02 -.6081409E+00
201801 0.1650604E+02 -.4683437E+00
201802 0.1652062E+02 -.2546978E+00
201803 0.1655863E+02 -.6120491E-01
201804 0.1671857E+02 0.1449413E+00
201805 0.1693208E+02 0.3405418E+00
201806 0.1707375E+02 0.4511395E+00
201807 0.1710677E+02 0.4646645E+00
201808 0.1714553E+02 0.4570694E+00
201809 0.1732088E+02 0.5440826E+00
201810 0.1758126E+02 0.7173214E+00
201811 0.1774426E+02 0.7860622E+00
201812 0.1769551E+02 0.6776562E+00
201901 0.1750204E+02 0.5276585E+00
201902 0.1731482E+02 0.5395031E+00
201903 0.1715915E+02 0.5393162E+00
201904 0.1699464E+02 0.4210091E+00
201905 0.1685519E+02 0.2636490E+00
201906 0.1674349E+02 0.1208858E+00
201907 0.1663027E+02 -.1184273E-01
201908 0.1658834E+02 -.1001282E+00
201909 0.1671173E+02 -.6507111E-01
201910 0.1694590E+02 0.8196259E-01
201911 0.1714928E+02 0.1910820E+00
201912 0.1724988E+02 0.2320251E+00
202001 0.1722975E+02 0.2553596E+00
202002 0.1709063E+02 0.3153076E+00
202003 0.1687007E+02 0.2502289E+00
202004 0.1660978E+02 0.3614426E-01
202005 0.1633636E+02 -.2551785E+00
