Warm Water Volume (m**3,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
200101 0.1796417E+16 0.9464041E+14
200102 0.1803964E+16 0.9000909E+14
200103 0.1824478E+16 0.9812672E+14
200104 0.1813381E+16 0.9681407E+14
200105 0.1766896E+16 0.7851603E+14
200106 0.1723042E+16 0.6474341E+14
200107 0.1688390E+16 0.4851380E+14
200108 0.1677744E+16 0.3748178E+14
200109 0.1705341E+16 0.4899712E+14
200110 0.1745971E+16 0.6193383E+14
200111 0.1779013E+16 0.7088937E+14
200112 0.1779949E+16 0.7067248E+14
200201 0.1756230E+16 0.5445294E+14
200202 0.1747280E+16 0.3332479E+14
200203 0.1746537E+16 0.2018554E+14
200204 0.1733375E+16 0.1680835E+14
200205 0.1708895E+16 0.2051451E+14
200206 0.1684015E+16 0.2571639E+14
200207 0.1670902E+16 0.3102577E+14
200208 0.1673154E+16 0.3289126E+14
200209 0.1681437E+16 0.2509348E+14
200210 0.1680383E+16 -.3653809E+13
200211 0.1661118E+16 -.4700546E+14
200212 0.1636868E+16 -.7240791E+14
200301 0.1626856E+16 -.7492114E+14
200302 0.1647686E+16 -.6626893E+14
200303 0.1682155E+16 -.4419669E+14
200304 0.1697934E+16 -.1863264E+14
200305 0.1700733E+16 0.1235300E+14
200306 0.1692606E+16 0.3430753E+14
200307 0.1679344E+16 0.3946833E+14
200308 0.1685468E+16 0.4520547E+14
200309 0.1702191E+16 0.4584757E+14
200310 0.1723626E+16 0.3958886E+14
200311 0.1746251E+16 0.3812723E+14
200312 0.1753769E+16 0.4449291E+14
200401 0.1749982E+16 0.4820510E+14
200402 0.1747171E+16 0.3321620E+14
200403 0.1763098E+16 0.3674626E+14
200404 0.1767186E+16 0.5061941E+14
200405 0.1736892E+16 0.4851166E+14
200406 0.1717487E+16 0.5918868E+14
200407 0.1709754E+16 0.6987804E+14
200408 0.1700144E+16 0.5988124E+14
200409 0.1704575E+16 0.4823114E+14
200410 0.1723254E+16 0.3921735E+14
200411 0.1743843E+16 0.3571883E+14
200412 0.1748412E+16 0.3913614E+14
200501 0.1746963E+16 0.4518587E+14
200502 0.1759366E+16 0.4541042E+14
200503 0.1760982E+16 0.3463005E+14
200504 0.1734278E+16 0.1771164E+14
200505 0.1702765E+16 0.1438505E+14
200506 0.1672391E+16 0.1409286E+14
