Warm Water Volume (m**3,5N-5S,155W-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
199712 0.1092895E+16 0.2572377E+15
199801 0.9755860E+15 0.1485320E+15
199802 0.8604015E+15 0.7997189E+14
199803 0.7623427E+15 0.2703816E+14
199804 0.6791407E+15 -.3245365E+14
199805 0.6126119E+15 -.9865023E+14
199806 0.5734897E+15 -.1496199E+15
199807 0.5579174E+15 -.1786924E+15
199808 0.5704014E+15 -.1834263E+15
199809 0.5912673E+15 -.1854978E+15
199810 0.5962482E+15 -.2015830E+15
199811 0.6020503E+15 -.2167735E+15
199812 0.6216875E+15 -.2139699E+15
199901 0.6288063E+15 -.1982476E+15
199902 0.6044932E+15 -.1759364E+15
199903 0.5748160E+15 -.1604886E+15
199904 0.5779544E+15 -.1336399E+15
199905 0.5989875E+15 -.1122746E+15
199906 0.6294595E+15 -.9365008E+14
199907 0.6538413E+15 -.8276852E+14
199908 0.6512258E+15 -.1026019E+15
199909 0.6525343E+15 -.1242308E+15
199910 0.6661806E+15 -.1316505E+15
199911 0.6633816E+15 -.1554422E+15
199912 0.6636544E+15 -.1720030E+15
200001 0.6653653E+15 -.1616886E+15
200002 0.6473579E+15 -.1330717E+15
200003 0.6275299E+15 -.1077747E+15
200004 0.6269925E+15 -.8460186E+14
200005 0.6529306E+15 -.5833156E+14
200006 0.6879242E+15 -.3518545E+14
200007 0.7153375E+15 -.2127223E+14
200008 0.7339592E+15 -.1986852E+14
200009 0.7517330E+15 -.2503208E+14
200010 0.7607431E+15 -.3708812E+14
200011 0.7521921E+15 -.6663165E+14
200012 0.7540291E+15 -.8162834E+14
200101 0.7497932E+15 -.7726076E+14
200102 0.7089370E+15 -.7149255E+14
200103 0.6703345E+15 -.6497010E+14
200104 0.6618733E+15 -.4972109E+14
200105 0.6817836E+15 -.2947858E+14
200106 0.7178833E+15 -.5226304E+13
200107 0.7451764E+15 0.8566581E+13
200108 0.7591151E+15 0.5287373E+13
200109 0.7745205E+15 -.2244590E+13
200110 0.7972491E+15 -.5821023E+12
200111 0.8215280E+15 0.2704219E+13
200112 0.8485688E+15 0.1291141E+14
200201 0.8779284E+15 0.5087449E+14
200202 0.8506100E+15 0.7018044E+14
200203 0.7800451E+15 0.4474054E+14
200204 0.7305276E+15 0.1893322E+14
200205 0.7321240E+15 0.2086186E+14
200206 0.7664497E+15 0.4334011E+14
200207 0.8028419E+15 0.6623215E+14
200208 0.8472237E+15 0.9339601E+14
200209 0.9082566E+15 0.1314915E+15
200210 0.9673313E+15 0.1695001E+15
200211 0.9922261E+15 0.1734023E+15
200212 0.9629350E+15 0.1272775E+15
200301 0.8896362E+15 0.6258230E+14
200302 0.7967551E+15 0.1632551E+14
200303 0.7212496E+15 -.1405494E+14
200304 0.6740840E+15 -.3751030E+14
200305 0.6675138E+15 -.4374840E+14
200306 0.7123084E+15 -.1080117E+14
200307 0.7676086E+15 0.3099879E+14
200308 0.7838456E+15 0.3001786E+14
200309 0.7964173E+15 0.1965216E+14
200310 0.8397636E+15 0.4193244E+14
200311 0.8795656E+15 0.6074184E+14
200312 0.8787422E+15 0.4308476E+14
200401 0.8364445E+15 0.9390610E+13
200402 0.7796139E+15 -.8157082E+12
200403 0.7126368E+15 -.2266776E+14
200404 0.6803386E+15 -.3125575E+14
200405 0.6924597E+15 -.1880243E+14
200406 0.7182026E+15 -.4907000E+13
200407 0.7498334E+15 0.1322367E+14
200408 0.7859204E+15 0.3209267E+14
200409 0.8388321E+15 0.6206704E+14
200410 0.8811780E+15 0.8334686E+14
200411 0.9057946E+15 0.8697081E+14
200412 0.9110895E+15 0.7543204E+14
200501 0.8712772E+15 0.4422326E+14
200502 0.8224254E+15 0.4199579E+14
200503 0.7947978E+15 0.5949322E+14
200504 0.7631872E+15 0.5159282E+14
200505 0.7338975E+15 0.2263535E+14
200506 0.7311407E+15 0.8031119E+13
200507 0.7387452E+15 0.2135471E+13
200508 0.7392580E+15 -.1456974E+14
200509 0.7444055E+15 -.3235956E+14
200510 0.7574673E+15 -.4036390E+14
200511 0.7697047E+15 -.4911906E+14
200512 0.7692556E+15 -.6640181E+14
200601 0.7270758E+15 -.9997811E+14
200602 0.6706997E+15 -.1097299E+15
200603 0.6515456E+15 -.8375898E+14
200604 0.6718394E+15 -.3975496E+14
200605 0.7125537E+15 0.1291577E+13
