Depth Averaged Temps (0/300m,deg C,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
199802 0.1940254E+02 -.1479326E+01
199803 0.1961784E+02 -.1311541E+01
199804 0.1970758E+02 -.1208233E+01
199805 0.1970476E+02 -.1114559E+01
199806 0.1967420E+02 -.1007334E+01
199807 0.1962759E+02 -.9485817E+00
199808 0.1969031E+02 -.8826656E+00
199809 0.1990519E+02 -.7722282E+00
199810 0.2015911E+02 -.6863480E+00
199811 0.2042179E+02 -.5458889E+00
199812 0.2062480E+02 -.3232822E+00
199901 0.2071158E+02 -.1584377E+00
199902 0.2078547E+02 -.9639740E-01
199903 0.2083268E+02 -.9670258E-01
199904 0.2078480E+02 -.1310215E+00
199905 0.2068690E+02 -.1324158E+00
199906 0.2054313E+02 -.1383991E+00
199907 0.2041411E+02 -.1620617E+00
199908 0.2044108E+02 -.1318970E+00
199909 0.2063290E+02 -.4451942E-01
199910 0.2089961E+02 0.5414963E-01
199911 0.2113568E+02 0.1680012E+00
199912 0.2126027E+02 0.3121872E+00
200001 0.2130282E+02 0.4328060E+00
200002 0.2132469E+02 0.4428291E+00
200003 0.2131838E+02 0.3889980E+00
200004 0.2126793E+02 0.3521099E+00
200005 0.2118277E+02 0.3634529E+00
200006 0.2103661E+02 0.3550777E+00
200007 0.2085170E+02 0.2755318E+00
200008 0.2079909E+02 0.2261143E+00
200009 0.2091908E+02 0.2416668E+00
200010 0.2110244E+02 0.2569866E+00
200011 0.2128663E+02 0.3189526E+00
200012 0.2134552E+02 0.3974419E+00
200101 0.2125912E+02 0.3891010E+00
200102 0.2124094E+02 0.3590794E+00
200103 0.2134287E+02 0.4134941E+00
200104 0.2134425E+02 0.4284325E+00
200105 0.2119218E+02 0.3728580E+00
200106 0.2101817E+02 0.3366337E+00
200107 0.2084064E+02 0.2644711E+00
200108 0.2077937E+02 0.2063904E+00
200109 0.2097356E+02 0.2961483E+00
200110 0.2125439E+02 0.4089336E+00
200111 0.2143210E+02 0.4644299E+00
200112 0.2140225E+02 0.4541702E+00
200201 0.2122383E+02 0.3538170E+00
200202 0.2114595E+02 0.2640820E+00
200203 0.2114517E+02 0.2157936E+00
200204 0.2108888E+02 0.1730671E+00
200205 0.2100918E+02 0.1898575E+00
200206 0.2092475E+02 0.2432156E+00
200207 0.2086981E+02 0.2936382E+00
200208 0.2086244E+02 0.2894630E+00
200209 0.2091141E+02 0.2339916E+00
200210 0.2094990E+02 0.1044388E+00
200211 0.2088251E+02 -.8516502E-01
200212 0.2075865E+02 -.1894283E+00
200301 0.2069112E+02 -.1789017E+00
200302 0.2074292E+02 -.1389408E+00
200303 0.2084774E+02 -.8163834E-01
200304 0.2092741E+02 0.1159286E-01
200305 0.2098239E+02 0.1630726E+00
200306 0.2097564E+02 0.2941055E+00
200307 0.2091129E+02 0.3351173E+00
200308 0.2092884E+02 0.3558617E+00
200309 0.2103288E+02 0.3554668E+00
200310 0.2118741E+02 0.3419533E+00
200311 0.2132079E+02 0.3531189E+00
200312 0.2133299E+02 0.3849049E+00
200401 0.2128533E+02 0.4153080E+00
200402 0.2123604E+02 0.3541718E+00
200403 0.2129925E+02 0.3698692E+00
200404 0.2135053E+02 0.4347172E+00
200405 0.2122806E+02 0.4087353E+00
200406 0.2114123E+02 0.4596920E+00
200407 0.2109874E+02 0.5225754E+00
200408 0.2104245E+02 0.4694748E+00
200409 0.2111068E+02 0.4332657E+00
200410 0.2127910E+02 0.4336433E+00
200411 0.2141565E+02 0.4479713E+00
200412 0.2141995E+02 0.4718666E+00
200501 0.2135818E+02 0.4881630E+00
200502 0.2133956E+02 0.4576912E+00
200503 0.2125572E+02 0.3263435E+00
200504 0.2111135E+02 0.1955376E+00
200505 0.2099113E+02 0.1718082E+00
200506 0.2084855E+02 0.1670132E+00
200507 0.2075317E+02 0.1769981E+00
200508 0.2079738E+02 0.2244015E+00
200509 0.2091479E+02 0.2373714E+00
200510 0.2106999E+02 0.2245369E+00
200511 0.2122068E+02 0.2530022E+00
200512 0.2126899E+02 0.3209076E+00
200601 0.2127709E+02 0.4070683E+00
200602 0.2134107E+02 0.4592075E+00
200603 0.2136453E+02 0.4351501E+00
200604 0.2128930E+02 0.3734875E+00
200605 0.2119637E+02 0.3770466E+00
200606 0.2106802E+02 0.3864822E+00
200607 0.2092375E+02 0.3475819E+00
200608 0.2084197E+02 0.2689915E+00
200609 0.2088894E+02 0.2115192E+00
200610 0.2106932E+02 0.2238598E+00
200611 0.2111373E+02 0.1460571E+00
200612 0.2093880E+02 -.9277344E-02
200701 0.2084169E+02 -.2832794E-01
200702 0.2092056E+02 0.3869629E-01
200703 0.2102641E+02 0.9703064E-01
200704 0.2107209E+02 0.1562767E+00
200705 0.2101160E+02 0.1922836E+00
200706 0.2085413E+02 0.1725998E+00
200707 0.2073066E+02 0.1544914E+00
200708 0.2073138E+02 0.1584015E+00
200709 0.2085766E+02 0.1802483E+00
200710 0.2106582E+02 0.2203598E+00
200711 0.2125578E+02 0.2881050E+00
200712 0.2133174E+02 0.3836594E+00
200801 0.2132599E+02 0.4559746E+00
200802 0.2138032E+02 0.4984531E+00
200803 0.2145708E+02 0.5277042E+00
200804 0.2139862E+02 0.4828033E+00
200805 0.2121736E+02 0.3980370E+00
200806 0.2095880E+02 0.2772636E+00
200807 0.2069855E+02 0.1223831E+00
200808 0.2060256E+02 0.2958870E-01
200809 0.2071711E+02 0.3969383E-01
200810 0.2090730E+02 0.6184196E-01
200811 0.2105290E+02 0.8522987E-01
200812 0.2120408E+02 0.2560005E+00
200901 0.2133464E+02 0.4646225E+00
200902 0.2136725E+02 0.4853821E+00
200903 0.2137840E+02 0.4490261E+00
200904 0.2136323E+02 0.4474106E+00
200905 0.2126009E+02 0.4407730E+00
200906 0.2108741E+02 0.4058800E+00
200907 0.2093474E+02 0.3585701E+00
200908 0.2093094E+02 0.3579674E+00
200909 0.2107691E+02 0.3994942E+00
200910 0.2120669E+02 0.3612289E+00
200911 0.2117037E+02 0.2026958E+00
200912 0.2097788E+02 0.2979469E-01
201001 0.2080549E+02 -.6453133E-01
201002 0.2076629E+02 -.1155739E+00
201003 0.2075891E+02 -.1704731E+00
201004 0.2069296E+02 -.2228546E+00
201005 0.2059319E+02 -.2261257E+00
201006 0.2054080E+02 -.1407337E+00
201007 0.2052038E+02 -.5578423E-01
201008 0.2054139E+02 -.3158379E-01
201009 0.2070961E+02 0.3219795E-01
201010 0.2098515E+02 0.1396942E+00
201011 0.2120708E+02 0.2394009E+00
201012 0.2133250E+02 0.3844166E+00
201101 0.2148032E+02 0.6102982E+00
201102 0.2162314E+02 0.7412720E+00
201103 0.2164036E+02 0.7109776E+00
201104 0.2154553E+02 0.6297112E+00
201105 0.2137270E+02 0.5533791E+00
201106 0.2115951E+02 0.4779720E+00
201107 0.2099239E+02 0.4162197E+00
201108 0.2093884E+02 0.3658657E+00
201109 0.2102129E+02 0.3438740E+00
201110 0.2119430E+02 0.3488426E+00
201111 0.2134025E+02 0.3725719E+00
201112 0.2140050E+02 0.4524174E+00
201201 0.2142264E+02 0.5526237E+00
201202 0.2143975E+02 0.5578842E+00
201203 0.2145252E+02 0.5231400E+00
201204 0.2144353E+02 0.5277100E+00
201205 0.2135736E+02 0.5380421E+00
201206 0.2117846E+02 0.4969215E+00
201207 0.2097832E+02 0.4021492E+00
201208 0.2086278E+02 0.2898026E+00
201209 0.2089362E+02 0.2162018E+00
201210 0.2102173E+02 0.1762733E+00
201211 0.2114186E+02 0.1741810E+00
201212 0.2121850E+02 0.2704182E+00
201301 0.2127058E+02 0.4005585E+00
201302 0.2129420E+02 0.4123383E+00
201303 0.2128100E+02 0.3516197E+00
201304 0.2123226E+02 0.3164406E+00
201305 0.2114536E+02 0.3260441E+00
201306 0.2104122E+02 0.3596859E+00
201307 0.2097103E+02 0.3948574E+00
201308 0.2098552E+02 0.4125443E+00
201309 0.2110788E+02 0.4304619E+00
201310 0.2128146E+02 0.4359989E+00
201311 0.2139512E+02 0.4274445E+00
201312 0.2143985E+02 0.4917717E+00
201401 0.2149822E+02 0.6282063E+00
201402 0.2155000E+02 0.6681309E+00
201403 0.2148059E+02 0.5512142E+00
201404 0.2126397E+02 0.3481503E+00
201405 0.2101049E+02 0.1911697E+00
201406 0.2086655E+02 0.1850166E+00
201407 0.2088916E+02 0.3129902E+00
201408 0.2101303E+02 0.4400501E+00
201409 0.2115887E+02 0.4814510E+00
201410 0.2128572E+02 0.4402599E+00
201411 0.2134280E+02 0.3751240E+00
201412 0.2132540E+02 0.3773155E+00
201501 0.2130853E+02 0.4385166E+00
201502 0.2132078E+02 0.4389172E+00
201503 0.2129875E+02 0.3693733E+00
201504 0.2117429E+02 0.2584724E+00
201505 0.2095513E+02 0.1358128E+00
201506 0.2073498E+02 0.5344391E-01
201507 0.2058787E+02 0.1169777E-01
201508 0.2052412E+02 -.4885674E-01
201509 0.2053580E+02 -.1416168E+00
201510 0.2055691E+02 -.2885513E+00
201511 0.2050357E+02 -.4641018E+00
201512 0.2037601E+02 -.5720711E+00
201601 0.2022673E+02 -.6432877E+00
201602 0.2012851E+02 -.7533531E+00
201603 0.2012844E+02 -.8009338E+00
201604 0.2017905E+02 -.7367668E+00
201605 0.2022443E+02 -.5948906E+00
201606 0.2027738E+02 -.4041538E+00
201607 0.2036954E+02 -.2066269E+00
201608 0.2052248E+02 -.5049896E-01
201609 0.2073268E+02 0.5526352E-01
201610 0.2096218E+02 0.1167183E+00
201611 0.2112778E+02 0.1601067E+00
201612 0.2115811E+02 0.2100315E+00
201701 0.2113448E+02 0.2644634E+00
201702 0.2118459E+02 0.3027229E+00
201703 0.2127069E+02 0.3413162E+00
201704 0.2127175E+02 0.3559361E+00
201705 0.2114314E+02 0.3238144E+00
201706 0.2094172E+02 0.2601871E+00
201707 0.2077389E+02 0.1977253E+00
201708 0.2072347E+02 0.1504936E+00
201709 0.2082385E+02 0.1464329E+00
201710 0.2104043E+02 0.1949692E+00
201711 0.2123880E+02 0.2711258E+00
201712 0.2130778E+02 0.3596992E+00
201801 0.2134155E+02 0.4715290E+00
201802 0.2145619E+02 0.5743217E+00
201803 0.2156732E+02 0.6379452E+00
201804 0.2157297E+02 0.6571522E+00
201805 0.2148490E+02 0.6655769E+00
201806 0.2137191E+02 0.6903763E+00
201807 0.2132854E+02 0.7523727E+00
201808 0.2139038E+02 0.8174000E+00
201809 0.2150094E+02 0.8235264E+00
201810 0.2158430E+02 0.7388439E+00
201811 0.2159197E+02 0.6242962E+00
201812 0.2153830E+02 0.5902195E+00
201901 0.2147296E+02 0.6029453E+00
201902 0.2139086E+02 0.5089989E+00
201903 0.2126158E+02 0.3322048E+00
201904 0.2110188E+02 0.1860619E+00
201905 0.2095134E+02 0.1320152E+00
201906 0.2084999E+02 0.1684589E+00
201907 0.2084457E+02 0.2684059E+00
201908 0.2095349E+02 0.3805141E+00
201909 0.2112538E+02 0.4479656E+00
201910 0.2127979E+02 0.4343300E+00
201911 0.2136240E+02 0.3947277E+00
201912 0.2134564E+02 0.3975544E+00
202001 0.2125810E+02 0.3880787E+00
202002 0.2117065E+02 0.2887897E+00
202003 0.2111531E+02 0.1859341E+00
202004 0.2107768E+02 0.1618595E+00
202005 0.2103986E+02 0.2205372E+00
